Arista E_0: origen=V_0, pareja=E_1, cara=f0, siguiente=E_158, anterior=E_524
Arista E_1: origen=V_1, pareja=E_0, cara=f1, siguiente=E_314, anterior=E_159
Arista E_2: origen=V_2, pareja=E_3, cara=f53, siguiente=E_47, anterior=E_9
Arista E_3: origen=V_3, pareja=E_2, cara=f2, siguiente=E_8, anterior=E_7
Arista E_4: origen=V_4, pareja=E_5, cara=f3, siguiente=E_559, anterior=E_22
Arista E_5: origen=V_5, pareja=E_4, cara=f4, siguiente=E_463, anterior=E_243
Arista E_6: origen=V_3, pareja=E_7, cara=f5, siguiente=E_74, anterior=E_347
Arista E_7: origen=V_6, pareja=E_6, cara=f2, siguiente=E_3, anterior=E_32
Arista E_8: origen=V_2, pareja=E_9, cara=f2, siguiente=E_32, anterior=E_3
Arista E_9: origen=V_7, pareja=E_8, cara=f53, siguiente=E_2, anterior=E_33
Arista E_10: origen=V_8, pareja=E_11, cara=f6, siguiente=E_260, anterior=E_506
Arista E_11: origen=V_9, pareja=E_10, cara=f53, siguiente=E_507, anterior=E_261
Arista E_12: origen=V_10, pareja=E_13, cara=f7, siguiente=E_112, anterior=E_399
Arista E_13: origen=V_11, pareja=E_12, cara=f8, siguiente=E_301, anterior=E_134
Arista E_14: origen=V_12, pareja=E_15, cara=f9, siguiente=E_331, anterior=E_298
Arista E_15: origen=V_13, pareja=E_14, cara=f10, siguiente=E_87, anterior=E_72
Arista E_16: origen=V_14, pareja=E_17, cara=f11, siguiente=E_530, anterior=E_148
Arista E_17: origen=V_15, pareja=E_16, cara=f12, siguiente=E_319, anterior=E_138
Arista E_18: origen=V_16, pareja=E_19, cara=f53, siguiente=E_116, anterior=E_366
Arista E_19: origen=V_17, pareja=E_18, cara=f0, siguiente=E_367, anterior=E_117
Arista E_20: origen=V_18, pareja=E_21, cara=f0, siguiente=E_440, anterior=E_336
Arista E_21: origen=V_19, pareja=E_20, cara=f13, siguiente=E_337, anterior=E_149
Arista E_22: origen=V_20, pareja=E_23, cara=f3, siguiente=E_4, anterior=E_559
