Archivo de caras
######################
Nombre     Interno      Externo   
######################
f_infinita None         None      
f0         None         E_0       
f1         None         E_1       
f2         None         E_3       
f3         None         E_4       
f4         None         E_5       
f5         None         E_6       
f6         None         E_10      
f7         None         E_12      
f8         None         E_13      
f9         None         E_14      
f10        None         E_15      
f11        None         E_16      
f12        None         E_17      
f13        None         E_21      
f14        None         E_23      
f15        None         E_24      
f16        None         E_25      
f17        None         E_26      
f18        None         E_27      
f19        None         E_28      
f20        None         E_29      
f21        None         E_34      
f22        None         E_35      
f23        None         E_36      
f24        None         E_38      
f25        None         E_45      
f26        None         E_46      
f27        None         E_48      
f28        None         E_49      
f29        None         E_50      
f30        None         E_51      
f31        None         E_53      
f32        None         E_55      
f33        None         E_56      
f34        None         E_57      
f35        None         E_58      
f36        None         E_59      
f37        None         E_60      
f38        None         E_67      
f39        None         E_68      
f40        None         E_69      
f41        None         E_70      
f42        None         E_71      
f43        None         E_75      
f44        None         E_82      
f45        None         E_85      
f46        None         E_86      
f47        None         E_90      
f48        None         E_96      
f49        None         E_98      
f50        None         E_100     
f51        None         E_104     
f52        None         E_106     
f53        [E_2]        E_110     
f54        None         E_113     
f55        None         E_114     
f56        None         E_115     
f57        None         E_119     
f58        None         E_127     
f59        None         E_137     
f60        None         E_144     
f61        None         E_152     
f62        None         E_154     
f63        None         E_156     
f64        None         E_161     
f65        None         E_171     
f66        None         E_201     
f67        None         E_239     
f68        None         E_259     
f69        None         E_269     
f70        None         E_335     
f71        None         E_343     
