Archivo de vértices
##############################
Nombre     x          y          Incidente 
##############################
V_0        461.0      854.0      E_525     
V_1        481.0      872.0      E_158     
V_2        58.0       604.0      E_8       
V_3        87.59      632.7      E_346     
V_4        475.0      703.0      E_463     
V_5        508.0      816.0      E_559     
V_6        93.05      611.53     E_244     
V_7        82.0       606.0      E_32      
V_8        315.0      471.0      E_507     
V_9        316.0      459.0      E_260     
V_10       276.0      837.0      E_398     
V_11       302.0      811.0      E_135     
V_12       643.0      614.0      E_299     
V_13       665.0      535.0      E_331     
V_14       611.0      729.0      E_319     
V_15       628.8      665.05     E_530     
V_16       460.0      1001.0     E_367     
V_17       533.0      1034.0     E_116     
V_18       600.0      781.0      E_337     
V_19       604.0      766.0      E_440     
V_20       428.0      774.0      E_558     
V_21       673.0      699.0      E_473     
V_22       694.0      700.0      E_358     
V_23       177.0      580.0      E_539     
V_24       202.0      611.0      E_176     
V_25       157.84     706.05     E_327     
V_26       179.69     674.38     E_360     
V_27       122.0      564.0      E_179     
V_28       134.0      579.0      E_216     
V_29       292.24     736.24     E_471     
V_30       308.0      752.0      E_310     
V_31       511.0      550.0      E_353     
V_32       526.0      543.0      E_392     
V_33       304.0      604.0      E_467     
V_34       325.0      600.0      E_219     
V_35       751.0      957.0      E_129     
V_36       769.0      994.0      E_206     
V_37       969.0      1027.0     E_165     
V_38       1052.0     1012.0     E_182     
V_39       453.83     557.78     E_519     
V_40       475.0      568.0      E_192     
V_41       87.0       635.0      E_430     
V_42       81.0       439.0      E_429     
V_43       112.0      454.0      E_448     
V_44       253.44     471.62     E_383     
V_45       262.0      479.0      E_423     
V_46       264.19     471.51     E_506     
V_47       274.0      438.0      E_483     
V_48       110.56     543.58     E_253     
V_49       112.0      538.0      E_532     
V_50       191.0      658.0      E_535     
V_51       202.89     722.64     E_415     
V_52       158.0      549.0      E_351     
V_53       161.74     555.1      E_538     
V_54       113.0      635.0      E_456     
V_55       156.26     627.98     E_412     
V_56       391.0      866.0      E_438     
V_57       394.0      850.0      E_517     
V_58       144.0      610.0      E_217     
V_59       171.0      657.0      E_89      
V_60       174.47     663.94     E_511     
V_61       93.0       800.0      E_492     
V_62       176.48     757.24     E_262     
V_63       188.0      768.0      E_246     
V_64       441.21     534.04     E_523     
V_65       100.0      615.0      E_475     
V_66       167.0      822.0      E_497     
V_67       1101.0     858.0      E_305     
V_68       1111.0     888.0      E_215     
V_69       369.0      582.0      E_376     
V_70       444.46     547.57     E_518     
V_71       446.0      554.0      E_166     
V_72       589.16     593.59     E_451     
V_73       159.0      632.0      E_413     
V_74       442.12     537.84     E_527     
V_75       95.35      523.43     E_503     
V_76       140.0      471.0      E_109     
